,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch_49.pth,"0    0.803571
Name: accuracy, dtype: float64",0.7428571428571429,0.9285714285714286,0.8253968253474427,3.5,0.9416666666666668,549.7754618987333,632.6796875,0.6495578231292517
1,best_model_epoch_25.pth,"0    0.803571
Name: accuracy, dtype: float64",0.7428571428571429,0.9285714285714286,0.8253968253474427,3.3846153846153846,0.9435897435897436,548.9270978336518,632.6796875,0.6508843537414967
2,best_model_epoch_16.pth,"0    0.839286
Name: accuracy, dtype: float64",0.8125,0.896551724137931,0.8524590163435636,30.692307692307693,0.4884615384615384,546.9883167685158,729.94873046875,0.3558189655172413
3,best_model_epoch_14.pth,"0    0.821429
Name: accuracy, dtype: float64",0.7647058823529411,0.9285714285714286,0.8387096773698232,6.923076923076923,0.8846153846153847,550.3163298987961,665.1026611328125,0.6281512605042018
4,best_model_epoch_13.pth,"0    0.821429
Name: accuracy, dtype: float64",0.7647058823529411,0.9285714285714286,0.8387096773698232,6.961538461538462,0.883974358974359,547.696917565341,665.1026611328125,0.6276960784313727
5,best_model_epoch_12.pth,"0    0.785714
Name: accuracy, dtype: float64",0.7222222222222222,0.9285714285714286,0.8124999999507814,11.923076923076923,0.8012820512820513,536.5931179072903,600.2567138671875,0.537367724867725
6,best_model_epoch_11.pth,"0    0.857143
Name: accuracy, dtype: float64",0.8181818181818182,0.9310344827586208,0.8709677418856919,51.96296296296296,0.1339506172839506,543.9390393675553,697.5256958007812,0.1020376175548589
7,best_model_epoch_10.pth,"0    0.767857
Name: accuracy, dtype: float64",0.6944444444444444,0.925925925925926,0.793650793601814,3.4,0.9433333333333334,531.907141309303,600.2566528320312,0.6065672153635117
8,best_model_epoch_9.pth,"0    0.839286
Name: accuracy, dtype: float64",0.8064516129032258,0.8928571428571429,0.8474576270687733,10.28,0.8286666666666667,550.3356288268865,762.3717651367188,0.5966781874039938
9,best_model_epoch_8.pth,"0    0.857143
Name: accuracy, dtype: float64",0.8125,0.9285714285714286,0.8666666666168888,32.5,0.4583333333333333,543.4894497997262,729.94873046875,0.3457961309523809
10,best_model_epoch_7.pth,"0    0.821429
Name: accuracy, dtype: float64",0.8,0.8571428571428571,0.8275862068466112,6.375,0.89375,551.3571842768426,795.0090942382812,0.6128571428571429
11,best_model_epoch_6.pth,"0    0.803571
Name: accuracy, dtype: float64",0.7428571428571429,0.9285714285714286,0.8253968253474427,10.307692307692308,0.8282051282051283,540.1940044948888,632.6796875,0.5712925170068028
12,best_model_epoch_5.pth,"0    0.785714
Name: accuracy, dtype: float64",0.7222222222222222,0.9285714285714286,0.8124999999507814,9.961538461538462,0.833974358974359,542.2097315657669,632.6796875,0.5592923280423281
13,best_model_epoch_4.pth,"0    0.732143
Name: accuracy, dtype: float64",0.6585365853658537,0.9642857142857144,0.7826086956039487,5.518518518518518,0.9080246913580248,531.0996427296569,502.9875793457031,0.5766114982578397
14,best_model_epoch_3.pth,"0    0.696429
Name: accuracy, dtype: float64",0.6190476190476191,0.9629629629629628,0.7536231883581601,5.230769230769231,0.9128205128205128,524.3001839868422,470.5646057128906,0.5441504997060552
15,best_model_epoch_2.pth,"0    0.535714
Name: accuracy, dtype: float64",0.5094339622641509,1.0,0.6749999999552811,5.0,0.9166666666666666,500.9848718183428,145.04869079589844,0.4669811320754716
16,best_model_epoch_1.pth,"0    0.482143
Name: accuracy, dtype: float64",0.4727272727272727,1.0,0.6419753085983844,3.692307692307693,0.9384615384615383,423.95234584827335,77.2026596069336,0.4436363636363636
17,best_model_epoch_0.pth,"0    0.464286
Name: accuracy, dtype: float64",0.4545454545454545,1.0,0.6249999999570313,3.0,0.95,325.81067005777066,77.2026596069336,0.4318181818181817
